Nome_Escola,REDE,NO_DISTRITO,ID_LATITUDE,ID_LONGITUDE,Municipio,ANO_CENSO,PK_COD_ENTIDADE,ID_DEPENDENCIA_ADM,Dependencia_Administrativa,UF,Endereco,Nr_Endereco,Complemento_Endereco,Bairro,CEP,DDD,Telefone,Telefone_Publico_1,Fax,Correio_Eletronico,Situacao_Funcionamento,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,FINSLUCRATIVOS,MOD_ATIV_COMPLEMENTAR,FUNC_PREDIO_ESCOLAR,FUNC_SALAS_EMPRESA,FUNC_PRISIONAL,FUNC_TEMPLO_IGREJA,FUNC_CASA_PROFESSOR,FUNC_GALPAO,FUNC_OUTROS,FUNC_SALAS_OUTRA_ESC,NUM_CNPJ_ESCOLA_PRIVADA,NUM_CNPJ_UNIDADE_EXECUTORA,CONVENIADA_PP,TIPO_CONVENIO_PODER_PUBLICO,ACESSIBILIDADE,REFEITORIO,DESPENSA,AUDITORIO,LABORATORIO_INFORMATICA,LABORATORIO_CIENCIAS,QUADRA_ESPORTES_COBERTA,QUADRA_ESPORTES_DESCOBERTA,PATIO_COBERTO,PATIO_DESCOBERTO,PARQUE_INFANTIL,BIBLIOTECA,BERCARIO,SANITARIO_DENTRO_PREDIO,SANITARIO_FORA_PREDIO,BANHEIRO_CHUVEIRO,NUM_SALAS_EXISTENTES,NUM_SALAS_UTILIZADAS,SALA_LEITURA,AREA_VERDE,NUM_FUNCIONARIOS,ALIMENTACAO,AGUA_FILTRADA,AGUA_REDE_PUBLICA,AGUA_POCO_ARTESIANO,AGUA_CACIMBA,AGUA_FONTE_RIO,AGUA_INEXISTENTE,ENERGIA_REDE_PUBLICA,ENERGIA_GERADOR,ESGOTO_REDE_PUBLICA,ESGOTO_FOSSA,ESGOTO_INEXISTENTE,INTERNET,COMPUTADORES,NUM_COMPUTADORES,COMPUSOALUNOS,EQUIP_DVD,EQUIP_IMPRESSORA,EQUIP_SOM,EQUIP_MULTIMIDIA,EQUIP_FAX,EQUIP_FOTO,EQUIP_PARABOLICA,EQUIP_COPIADORA,EQUIP_RETRO,EQUIP_TV,EQUIP_VIDEOCASSETE,MATERIAL_ESP_NAO_UTILIZA,MATERIAL_ESP_QUILOMBOLA,MATERIAL_ESP_INDIGENA,EDUCACAO_INDIGENA,LINGUA_INDIGENA,LINGUA_PORTUGUESA,ESPACO_TURMA_PBA,ABRE_FINAL_SEMANA,MOD_ENS_REGULAR,MOD_EDUC_ESPECIAL,MOD_EJA,MATTOTAL,MATEI,MATCRECHE,MATPRE,MATEF,MATEFI,MATEF1,MATEF2,MATEF3,MATEF4,MATEF5,MATEF6,MATEF7,MATEF8,MATEF14AI,MATEF58AF,MATS,MAT1S,MAT2S,MAT3S,MAT4S,MAT5S,MAT6S,MAT7S,MAT8S,MATA,MAT1A,MAT2A,MAT3A,MAT4A,MAT5A,MAT6A,MAT7A,MAT8A,MAT9A,MATEM,MATEM1,MATEM2,MATEM3,MATEM4,MATEMNS,MATEM_EM,MATEM1_EM,MATEM2_EM,MATEM3_EM,MATEM4_EM,MATEMNS_EM,MATEM_I,MATEM1_I,MATEM2_I,MATEM3_I,MATEM4_I,MATEMNS_I,MATEM_N,MATEM1_N,MATEM2_N,MATEM3_N,MATEM4_N,MATEP,MATEPCONC,MATEPSUBSEQ,MATEJA,MATEJAEF,MATEJAEM,MATEJAP,MATEJAPEF,MATEJAP14,MATEJAP58,MATEJAPPJ,MATEJAPEM,MATEJASP,MATEJASPEF,MATEJASP14,MATEJASP58,MATEJASPEM,MATEJAEPEF,MATEJAEPNM,MATEJASPEPEF,MATEJASPEPNM,MATEEINCL,MATESPTOT,MATESP,MATESPEXCLUS,MATESPCLESP
CORREA JACOB COLEGIO,Privada,ITAQUERA,-46.4539185,-23.5436115,SAO PAULO,2012,35189820,4,Privada,São Paulo,RUA COLOMBO,144,,ITAQUERA,8210030,11,20799908,,,CORREIAJACOB@TERRA.COM.BR,Em Atividade,30/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Sim,Não,3893797000191,3893797000191,Não,,Não,Sim,Não,Não,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,8,8,Não,Sim,9,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,6,4,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,78,12,1,11,66,15,22,10,7,12,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,66,15,22,10,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CLARA COLEGIO,Privada,VILA PRUDENTE,-46.54967307,-23.57763206,SAO PAULO,2012,35136906,4,Privada,São Paulo,R SAO SABINO,27/21,,CH BELENZINHO,3375080,11,22166305,,29181815,CSANTACLARA@CSANTACLARA.COM.BR,Em Atividade,30/1/2012,19/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,52635372000198,52635372000198,Não,,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,9,9,Não,Sim,40,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,15,15,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,292,51,1,50,205,39,26,18,19,15,20,27,18,23,117,88,0,0,0,0,0,0,0,0,0,205,39,26,18,19,15,20,27,18,23,36,13,15,8,0,0,36,13,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERNARDINO DE CAMPOS DOUTOR COLEGIO,Privada,CASA VERDE,-46.6556992,-23.5088683,SAO PAULO,2012,35100092,4,Privada,São Paulo,RUA JABOATAO,134,,CASA VERDE,2516010,11,39660714,39501545,,,Em Atividade,30/1/2012,7/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,62561089000112,62561089000112,Não,,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,22,22,Não,Não,42,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,14,0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,S,,,148,14,1,13,120,11,18,13,13,16,17,17,6,9,71,49,0,0,0,0,0,0,0,0,0,120,11,18,13,13,16,17,17,6,9,14,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TRENTUS COLEGIO,Privada,PERDIZES,-46.6916231,-23.5411752,SAO PAULO,2012,35800703,4,Privada,São Paulo,RUA ENGENHEIRO FRANCISCO AZEVEDO,324,,VILA ANGLO BRASILEIRA,5030010,11,38620443,,,,Em Atividade,2/1/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,62030036000175,62030036000175,Não,,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Sim,Não,Não,7,7,Não,Não,7,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,4,3,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,14,7,1,6,7,1,3,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORUMBI INSTITUTO DE ENSINO,Privada,CAPAO REDONDO,-46.7705136,-23.6650057,SAO PAULO,2012,35160751,4,Privada,São Paulo,AVENIDA ELLIS MAAS,821,,CAPAO REDONDO,5859000,11,55111528,,38452549,ADRIANA.FERRO@GDV.COM.BR,Em Atividade,23/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,1765660000126,1765660000126,Não,,Não,Não,Não,Sim,Sim,Não,,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,10,10,Não,Sim,8,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,3,2,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,35,7,1,6,28,7,5,9,2,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28,7,5,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMEGA COLEGIO,Privada,SAO MIGUEL,-46.4429047,-23.5050014,SAO PAULO,2012,35163181,4,Privada,São Paulo,AVENIDA PIRES DO RIO,981,,SAO MIGUEL PAULISTA,8020000,11,29560947,29560947,,,Em Atividade,26/1/2012,20/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,2951973000131,2951973000131,Não,,Não,Não,Não,Não,Sim,Não,,Sim,Não,Não,Não,Não,Não,Não,Não,Não,7,7,Sim,Sim,15,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,5,4,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,62,9,2,7,53,7,7,8,11,5,0,9,6,0,38,15,0,0,0,0,0,0,0,0,0,53,7,7,8,11,5,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TERCEIRO MILENIO COLEGIO,Privada,VILA MATILDE,-46.5245832,-23.5326114,SAO PAULO,2012,35124539,4,Privada,São Paulo,RUA AMARO BEZERRA CAVALCANTI,751,,VILA MATILDE,3513010,11,26511255,,,,Em Atividade,26/1/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,65505463000150,65505463000150,Não,,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,16,16,Não,Sim,21,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,16,16,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,202,6,2,4,137,9,12,10,14,11,18,23,16,24,56,81,0,0,0,0,0,0,0,0,0,137,9,12,10,14,11,18,23,16,24,59,25,20,14,0,0,59,25,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI DUNI TE ESCOLA DE EDUCACAO INFANTIL,Privada,TATUAPE,-46.5702941,-23.535911,SAO PAULO,2012,35157181,4,Privada,São Paulo,RUA PDE LANDELL DE MOURA,134,,VILA REGENTE FEIJO,3337080,11,26710252,,26710221,UNIDUNITE@ESCOLAUNIDUNITE.COM.BR,Em Atividade,1/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,52031903000133,52031903000133,Não,,Sim,Não,Não,Não,Sim,Não,,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,6,6,Sim,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,1,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,16,16,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANDELARIA INSTITUTO EDUCACIONAL,Privada,VILA MARIA,-46.5862809,-23.5122308,SAO PAULO,2012,35288573,4,Privada,São Paulo,RUA GUARANESIA,1472,,VILA MARIA,2112002,11,29550296,29550296,26310604,SECRETARIA@IECANDELARIA.COM.BR,Em Atividade,26/1/2012,20/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,7476239000181,7476239000181,Não,,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,18,18,Sim,Sim,26,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,19,10,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,S,,,226,14,2,12,163,18,26,16,7,15,21,14,22,24,82,81,0,0,0,0,0,0,0,0,0,163,18,26,16,7,15,21,14,22,24,49,17,21,11,0,0,49,17,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ESCOLA MONTESSORI ANGUELOS,Privada,CURSINO,-46.6169096,-23.6341934,SAO PAULO,2012,35185486,4,Privada,São Paulo,R EDUARDO FERREIRA FRANCA,737,,V MORAES,4157000,11,50586630,,50735817,ESCOLA@ANGUELOS.COM.BR,Em Atividade,20/1/2012,14/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,73701260000168,73701260000168,Não,,Não,Não,Não,Não,Sim,Não,,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,8,8,Não,Sim,12,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,12,10,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,102,23,2,21,79,23,23,14,12,7,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,79,23,23,14,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
