PK_COD_ENTIDADE,ID_LATITUDE,ID_LONGITUDE,Nome_Escola,REDE,Municipio,NO_DISTRITO,Endereco,Nr_Endereco,Bairro,CEP,Telefone,Fax,Correio_Eletronico,Situacao_Funcionamento,ACESSIBILIDADE,DEPENDENCIAS_PNE,SANITARIO_PNE,REFEITORIO,DESPENSA,ALMOXARIFADO,AUDITORIO,LABORATORIO_INFORMATICA,LABORATORIO_CIENCIAS,SALA_ATENDIMENTO_ESPECIAL,QUADRA_ESPORTES_COBERTA,QUADRA_ESPORTES_DESCOBERTA,PATIO_COBERTO,PATIO_DESCOBERTO,PARQUE_INFANTIL,COZINHA,BIBLIOTECA,BERCARIO,SANITARIO_DENTRO_PREDIO,SANITARIO_FORA_PREDIO,SANITARIO_EI,BANHEIRO_CHUVEIRO,LAVANDERIA,DEPENDENCIAS_OUTRAS,NUM_SALAS_EXISTENTES,NUM_SALAS_UTILIZADAS,SALA_LEITURA,AREA_VERDE,NUM_FUNCIONARIOS,ALIMENTACAO,INTERNET,BANDA_LARGA,COMPUTADORES,NUM_COMPUTADORES,COMPUSOALUNOS,EQUIP_DVD,EQUIP_SOM,EQUIP_MULTIMIDIA,EQUIP_TV,EQUIP_VIDEOCASSETE,ABRE_FINAL_SEMANA,NESCCRECHER,MATCRECHE,Dependencia_Administrativa,CATESCPRIVADA,
35010340,-46.53462146,-23.57794592,CR P CONV NOVA SANT ANA II,Privada,SAO PAULO,VILA FORMOSA,REI ALBERTO DA BELGICA,449461,CHACARA BELENZINHO,3381000,27177330,,CEINOVASANTANA2@GMAIL.COM,Em Atividade,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,10,10,Não,Não,30,Sim,Sim,Possui,Sim,1,0,Sim,Sim,Não,Sim,Não,Não,1,173,Privada,Filantropica,
35051585,-46.6009,-23.5284,EMEI ELDY POLI BIFONE PROFA,Pública,SAO PAULO,BELEM,ARISTON AZEVEDO,134,CATUMBI,3021020,26947365,,EMEIEPBIFONE@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,8,8,Sim,Sim,37,Sim,Sim,Possui,Sim,21,17,Sim,Sim,Sim,Sim,Sim,Não,1,23,Municipal,,
35051676,-46.6562,-23.497,EMEI EDUARDO GOMES BRIG,Pública,SAO PAULO,CASA VERDE,RUA SANTA EUDOXIA,800,PARQUE PERUCHE,2533011,39663103,39660434,EMEIEGOMES@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,6,6,Não,Sim,46,Sim,Sim,Possui,Sim,19,15,Sim,Sim,Sim,Sim,Sim,Não,1,24,Municipal,,
35051688,-46.6714,-23.4931,EMEI 7 DE SETEMBRO,Pública,SAO PAULO,LIMAO,BALTASAR ABADAL,SN,VILA SANTISTA,2560150,39510799,39510815,EMEI7DESETEMBRO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,8,8,Não,Sim,41,Sim,Sim,Não possui,Sim,3,0,Sim,Sim,Sim,Sim,Sim,Não,1,50,Municipal,,
35051706,-46.6704,-23.5571,EMEI ANTONIO BRANCO LEFEVRE PROF,Pública,SAO PAULO,JARDIM PAULISTA,DOUTOR OVIDIO PIRES DE CAMPOS,342,CERQUEIRA CESAR,5403010,30633543,,EMEIABLEFEVRE@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,8,8,Não,Não,36,Sim,Sim,Não possui,Sim,23,18,Sim,Sim,Sim,Sim,Sim,Não,1,56,Municipal,,
35051767,-46.6913,-23.607,EMEI ISABEL COLOMBO PROFA,Pública,SAO PAULO,ITAIM BIBI,AVENIDA PADRE ANTONIO JOSE DOS SANTOS,1511,CIDADE MONCOES,4563004,55063713,55063713,EMEIICOLOMBO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,5,5,Não,Não,28,Sim,Sim,Possui,Sim,22,16,Sim,Sim,Não,Sim,Sim,Não,1,20,Municipal,,
35051950,-46.6949,-23.5283,EMEI NOEMIA IPPOLITO,Pública,SAO PAULO,LAPA,ALFREDO WEISZFLOG,SN,VILA ROMANA,5045050,36726095,38736282,EMEINIPPOLITO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,8,8,Não,Sim,35,Sim,Sim,Possui,Sim,21,17,Sim,Sim,Sim,Sim,Sim,Não,1,24,Municipal,,
35051962,-46.7058,-23.5154,EMEI NEYDE GUZZI DE CHIACCHIO PROFA,Pública,SAO PAULO,LAPA,DA LAPA,SN,LAPA DE BAIXO,5069030,36116215,36114957,EMEINGCHIACCHIO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,5,5,Não,Sim,36,Sim,Sim,Possui,Sim,25,22,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35051986,-46.7065,-23.5302,EMEI RICARDO GONCALVES,Pública,SAO PAULO,LAPA,PRACA TCHECO,SN,VILA IPOJUCA,5057080,38312896,38322198,EMEIRGONCALVES@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,5,5,Sim,Sim,28,Sim,Sim,Não possui,Sim,21,14,Sim,Sim,Não,Sim,Sim,Não,1,25,Municipal,,
35052000,-46.673,-23.5105,EMEI GUIA LOPES,Pública,SAO PAULO,LIMAO,AVENIDA PROFESSOR CELESTINO BOURROUL,358,JARDIM PEREIRA LEITE,2710000,38581407,,EMEIGLOPES@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,7,7,Sim,Sim,40,Sim,Sim,Possui,Sim,19,12,Sim,Sim,Sim,Sim,Sim,Não,1,50,Municipal,,
35052012,-46.6031,-23.5586,EMEI TAMANDARE ALM,Pública,SAO PAULO,MOOCA,LARGO SAO RAFAEL,185,MOOCA,3113020,22912722,22912722,EMEITAMANDARE@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,5,5,Não,Sim,35,Sim,Sim,Possui,Sim,13,8,Sim,Sim,Sim,Sim,Sim,Não,1,20,Municipal,,
35052036,-46.5641,-23.5701,EMEI MARIO ALVES DE CARVALHO DR,Pública,SAO PAULO,AGUA RASA,DOM PEDRO I,SN,VILA INVERNADA,3351125,26712684,26710067,EMEIMACARVALHO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,4,4,Não,Não,32,Sim,Sim,Possui,Sim,20,16,Sim,Sim,Sim,Sim,Sim,Não,1,51,Municipal,,
35052061,-46.6941,-23.4997,EMEI MANOEL PRETO,Pública,SAO PAULO,FREGUESIA DO O,RUA BONIFACIO CUBAS,356,VILA ALBERTINA,2731000,39313871,39313887,EMEIMPRETO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,7,7,Não,Sim,41,Sim,Sim,Possui,Sim,23,17,Sim,Sim,Sim,Sim,Sim,Não,1,74,Municipal,,
35052085,-46.7036,-23.4834,EMEI 25 DE JANEIRO,Pública,SAO PAULO,FREGUESIA DO O,RUA PADRE FELICIANO DOMINGUES,182,VILA MARINA,2965140,39752738,39756908,EMEI25DEJANEIRO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,7,7,Sim,Não,47,Sim,Sim,Não possui,Sim,22,15,Sim,Sim,Sim,Sim,Sim,Não,1,48,Municipal,,
