Subprefeitura,latitude,longitude
Vila Mariana,-23.5992434988567,-46.6454700490107
Cidade Ademar,-23.6877922447935,-46.6511580697211
Campo Limpo,-23.6517800652972,-46.7516345351955
Parelheiros,-23.8742902949297,-46.707620701227
Capela do Socorro,-23.7549910411892,-46.6758060631208
Santo Amaro,-23.6541931892653,-46.6859176046898
Jabaquara,-23.6573225060574,-46.6411651217783
M Boi Mirim,-23.6983071637283,-46.7610358007496
Ipiranga,-23.619825160755,-46.606489053476
Lapa,-23.5268777735952,-46.711328448853
Vila Prudente,-23.5902138737763,-46.5464997934177
Pinheiros,-23.580837939349,-46.6917835968897
Guaianases,-23.5484175777762,-46.4061940965672
Cidade Tiradentes,-23.5912734203808,-46.3928198615626
Vila Maria - Vila Guilherme,-23.5010424971165,-46.588299518585
Butantã,-23.5819505339599,-46.75261579825
Perus,-23.4267713656549,-46.7771366409312
Pirituba,-23.4578710477718,-46.7413709488909
Casa Verde,-23.4663397131964,-46.6675640616796
Freguesia do Ó,-23.4609891574339,-46.692787750399
Ermelino Matarazzo,-23.5024747895813,-46.493672966972
Santana - Tucuruvi,-23.4741421350507,-46.6189833215787
Penha,-23.5161271979286,-46.5159147467268
Itaquera,-23.5558219408071,-46.465975915302
Itaim Paulista,-23.508110618862,-46.4004927842238
Mooca,-23.5541548725874,-46.5845341647626
Jaçanã - Tremembé,-23.422335040926,-46.585678773703
São Mateus,-23.6063934427839,-46.4523750610693
Sé,-23.5493505383287,-46.6358514445114
Aricanduva,-23.5624885136418,-46.5394517481814
São Miguel,-23.4992404257184,-46.4282396058427
